dept_rollup_name,fund_name,budget,expenditures,source_lines,elapsed_pct,expected_spend_to_date,remaining_budget,utilization_pct,pace_variance,pace_gap_pct_points,linear_run_rate_proxy,projected_variance_proxy,pace_status
Building Services,One Texas Center Fund,199770.0,198926.07,2,75.0,149827.5,843.929999999993,99.5775491815588,49098.57000000001,24.577549181558794,265234.76,65464.76000000001,Above pace
Emergency Medical Services,EMS Donations Fund,189377.0,175222.71,3,75.0,142032.75,14154.290000000008,92.52586639349023,33189.95999999999,17.525866393490233,233630.28,44253.28,Above pace
Financial Services,East 6th Street Public Improvement District Fund,174369.0,83394.86,4,75.0,130776.75,90974.14,47.82665496733938,-47381.89,-27.17334503266062,111193.14666666667,-63175.85333333333,Below pace
Building Services,Permitting and Development Center Fund,173368.0,297394.85,3,75.0,130026.0,-124026.84999999998,171.53964399427804,167368.84999999998,96.53964399427804,396526.4666666666,223158.46666666662,Above pace
Municipal Court,Special Court Fund,166035.0,115789.65000000001,15,75.0,124526.25,50245.34999999999,69.73809738910471,-8736.599999999991,-5.261902610895291,154386.2,-11648.799999999988,Below pace
Watershed Protection,Waller Creek Tunnel COs,159033.0,0.0,1,75.0,119274.75,159033.0,0.0,-119274.75,-75.0,0.0,-159033.0,Below pace
Austin Public Health,Sustainability Fund,150000.0,0.0,1,75.0,112500.0,150000.0,0.0,-112500.0,-75.0,0.0,-150000.0,Below pace
Economic Development,Red River Cultural District,150000.0,100000.0,1,75.0,112500.0,50000.0,66.66666666666667,-12500.0,-8.333333333333329,133333.33333333334,-16666.666666666657,Below pace
Financial Services,Second Street Tax Increment Financing Fund,110000.0,30893.7,4,75.0,82500.0,79106.3,28.08518181818182,-51606.3,-46.91481818181818,41191.6,-68808.4,Below pace
Public Works,I-35 Parking Program Fund,97420.0,97643.1,2,75.0,73065.0,-223.10000000000582,100.2290084171628,24578.100000000006,25.229008417162802,130190.8,32770.8,Above pace
Public Works,GCP-Tpsd General Improvements,91332.0,91331.41,1,75.0,68499.0,0.5899999999965075,99.99935400516796,22832.410000000003,24.99935400516796,121775.21333333333,30443.213333333333,Above pace
Austin Energy,Better Bldgs Loan Loss Reserve,50000.0,25037.72,2,75.0,37500.0,24962.28,50.07544,-12462.279999999999,-24.92456,33383.62666666667,-16616.37333333333,Below pace
Police,Auto Theft Interdiction Seizur,37161.0,0.0,3,75.0,27870.75,37161.0,0.0,-27870.75,-75.0,0.0,-37161.0,Below pace
Police,Police State Gambling Asset Forfeiture Fund,33425.0,32413.87,6,75.0,25068.75,1011.130000000001,96.97492894540015,7345.119999999999,21.97492894540015,43218.49333333333,9793.493333333332,Above pace
Austin Public Library,Austin History Center,30435.0,4209.110000000001,7,75.0,22826.25,26225.89,13.82983407261377,-18617.14,-61.17016592738623,5612.146666666667,-24822.853333333333,Below pace
Development Services,Planting For The Future Fund,30000.0,0.0,1,75.0,22500.0,30000.0,0.0,-22500.0,-75.0,0.0,-30000.0,Below pace
Austin Transportation,ATD  Transportation CIP,15700.0,15700.0,1,75.0,11775.0,0.0,100.0,3925.0,25.0,20933.333333333332,5233.333333333332,Above pace
Economic Development,Public Art Fund,15163.0,15163.0,1,75.0,11372.25,0.0,100.0,3790.75,25.0,20217.333333333332,5054.333333333332,Above pace
Fire,Fire Miscellaneous,7000.0,0.0,2,75.0,5250.0,7000.0,0.0,-5250.0,-75.0,0.0,-7000.0,Below pace
Austin Resource Recovery,ARR-Austin Resource Recovery Cip,0.0,0.0,11,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Austin Public Library,General Fund Budget Stabilization Reserve Fund,0.0,0.0,2,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Austin Public Library,Friends of APL,0.0,0.0,4,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Animal Services,General Fund Budget Stabilization Reserve Fund,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Communications & Technology Management,Radio Inventory,0.0,15071.8,1,75.0,0.0,-15071.8,,15071.8,,20095.733333333334,20095.733333333334,Review: spend without budget
Development Services,Urban Forest Replenishment Fund,0.0,-4596.62,12,75.0,0.0,4596.62,,-4596.62,,-6128.826666666667,-6128.826666666667,Review: non-positive budget
Economic Development,Childcare Assistance Reserve Fund,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Economic Development,Cultural Arts Fund,0.0,0.0,13,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Communications & Public Information,Support Services Fund,0.0,0.0,306,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Aviation,Mueller Airport Disposition Fd,0.0,6460.16,1,75.0,0.0,-6460.16,,6460.16,,8613.546666666667,8613.546666666667,Review: spend without budget
Communications & Public Information,General Fund Budget Stabilization Reserve Fund,0.0,0.0,6,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Austin Public Health,General Fund Budget Stabilization Reserve Fund,0.0,0.0,3,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Austin Energy,Science Fest,0.0,0.0,6,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Austin Transportation,Transportation Inventory Fund,0.0,-1554735.03,1,75.0,0.0,1554735.03,,-1554735.03,,-2072980.04,-2072980.04,Review: non-positive budget
Austin Water,Water Inventory Fund,0.0,-230208.0,2,75.0,0.0,230208.0,,-230208.0,,-306944.0,-306944.0,Review: non-positive budget
Aviation,ABIA Improvements,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Economic Development,Live Music Fund,0.0,0.0,3,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Economic Development,Iconic Venue Fund,0.0,0.0,2,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Economic Development,General Fund Budget Stabilization Reserve Fund,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Economic Development,GCP-General Govt Proj,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Homeless Strategy Office,General Fund Budget Stabilization Reserve Fund,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Human Resources,General Fund Budget Stabilization Reserve Fund,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Fleet Services,General Svc Inventories,0.0,2611881.27,10,75.0,0.0,-2611881.27,,2611881.27,,3482508.36,3482508.36,Review: spend without budget
Forensic Science,General Fund Budget Stabilization Reserve Fund,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Financial Services,Unclaimed Property,0.0,855.77,2,75.0,0.0,-855.77,,855.77,,1141.0266666666666,1141.0266666666666,Review: spend without budget
Enterprise Debt Service,Convention Center Capitalized Interest Fund,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Emergency Medical Services,General Fund Budget Stabilization Reserve Fund,0.0,0.0,11,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Enterprise Debt Service,Convention Center Expansion Junior Lien Debt Service Fund,0.0,0.0,2,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Financial Services,General Fund Budget Stabilization Reserve Fund,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Enterprise Debt Service,Utility Debt Service Fund-Subordinate Lien,0.0,0.0,2,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Financial Services,Long Center Capital Improvements Fund,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Financial Services,Rainey Street Historic District Fund,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Management Services,Project Connect - Office Fund,0.0,0.0,43,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Management Services,Planting For The Future Fund,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Management Services,General Fund Budget Stabilization Reserve Fund,0.0,-6725.65,1,75.0,0.0,6725.65,,-6725.65,,-8967.533333333333,-8967.533333333333,Review: non-positive budget
Information Security Office,Information and Technology Fund,0.0,-142238.95,127,75.0,0.0,142238.95,,-142238.95,,-189651.93333333335,-189651.93333333335,Review: non-positive budget
Neighborhood Housing & Community Development,Austin Housing Finance Corporation-Operating Fund,0.0,0.0,4,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Neighborhood Housing & Community Development,AHFC-Project Connect- Anti Displacement,0.0,0.0,6,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Neighborhood Housing & Community Development,House Our People Endowment Fund,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Nondepartmental,General Fund Emergency Reserve Fund,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Parks & Recreation,General Fund Budget Stabilization Reserve Fund,0.0,0.0,4,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Parks & Recreation,GGCIP - Parks and Recreation,0.0,0.0,17,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Nondepartmental,Pay for Success Reserve Fund,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Municipal Court,General Fund Budget Stabilization Reserve Fund,0.0,0.0,3,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Police,General Fund Budget Stabilization Reserve Fund,0.0,0.0,3,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Planning & Zoning,General Fund Budget Stabilization Reserve Fund,0.0,0.0,4,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Parks & Recreation,Historic Preservation Fund,0.0,0.0,11,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
Public Works,GCP-Transportation PB/2020,0.0,0.0,1,75.0,0.0,0.0,,0.0,,0.0,0.0,Review: non-positive budget
